host,project_name,serial,dataset_name,model_name,freeze_backbone,model_name_teacher,selector,tgda,pretrained,ckpt_path_teacher,square_resize_random_crop,cont_loss,cont_temp,loss_cont_weight,pooling_function,lr,base_lr,opt,weight_decay,seed,epochs,image_size,batch_size,num_images_train,num_images_val,val_acc,val_loss,train_acc,train_loss,time_total,max_memory,flops,no_params,no_params_trainable,throughput
server-3090,KD_try,0,aircraft,resnet18,,,,0.0,False,,True,0.0,0.07,1.0,gap,0.0005,,adamw,0.05,0.0,800.0,224.0,8.0,6667.0,3333.0,78.85,1.702,100.0,0.0,269.2553,1.9199,1.8161,11.2278,11.2278,
server-3090,KD_try,0,aircraft,resnet18,,resnet101,,0.0,False,/hdd/edwin/results_backbones/ft_ckpts/aircraft_resnet101.pth,True,0.0,0.07,1.0,gap,0.0005,,adamw,0.05,0.0,800.0,224.0,8.0,6667.0,3333.0,82.84,0.747,99.97,0.222,437.06,4.7773,1.8161,53.9329,11.2278,
server-3090,KD_try,0,aircraft,resnet18,,resnet101,cal,0.0,False,/hdd/edwin/results_backbones/cal_ckpts/aircraft_resnet101_cal.pth,True,0.0,0.07,1.0,gap,0.0005,,adamw,0.05,0.0,800.0,224.0,8.0,6667.0,3333.0,80.71,0.726,100.0,0.131,464.474,4.8281,1.8161,60.3472,11.2278,
server-3090,KD_try,0,aircraft,resnet18,,resnet101,cal,1.0,False,/hdd/edwin/results_backbones/cal_ckpts/aircraft_resnet101_cal.pth,True,0.0,0.07,1.0,gap,0.0005,,adamw,0.05,0.0,800.0,224.0,8.0,6667.0,3333.0,85.24,0.567,100.0,0.292,777.5022,4.8887,1.8161,60.3472,11.2278,
nando-MS-7D88,KD_try,0,aircraft,vit_t16,,,,0.0,False,,True,0.0,0.07,1.0,gap,0.0005,,adamw,0.05,0.0,800.0,224.0,8.0,6667.0,3333.0,27.27,7.522,100.0,0.0,191.7944,0.3516,1.2545,5.5437,5.5437,
DGX-CN02,KD_try,0,aircraft,vit_t16,,vit_b16,cal,0.0,False,/home/edwinarkelrios.ee08/ckpts/cal_ckpts/aircraft_vit_b16_cal.pth,True,0.0,0.07,1.0,gap,0.0005,,adamw,0.05,0.0,800.0,224.0,8.0,6667.0,3333.0,34.77,3.745,100.0,0.07,347.1418,0.7812,1.2473,93.8227,5.5433,
DGX-CN02,KD_try,0,aircraft,vit_t16,,vit_b16,cal,1.0,False,/home/edwinarkelrios.ee08/ckpts/cal_ckpts/aircraft_vit_b16_cal.pth,True,0.0,0.07,1.0,gap,0.0005,,adamw,0.05,0.0,800.0,224.0,8.0,6667.0,3333.0,47.01,3.079,100.0,0.732,592.199,1.1836,1.2473,93.8227,5.5433,
nando-MS-7D88,KD_try,0,aircraft,vit_t16,,vit_b16,,0.0,False,/home/nando/ckpts/ft_ckpts/aircraft_vit_b16.pth,True,0.0,0.07,1.0,gap,0.0005,,adamw,0.05,0.0,800.0,224.0,8.0,6667.0,3333.0,35.25,5.076,100.0,0.136,268.9415,0.6836,1.2545,91.4193,5.5437,
nando-MS-7D88,KD_try,0,aircraft,vit_t16,,resnet101,,0.0,False,/home/nando/ckpts/ft_ckpts/aircraft_resnet101.pth,True,0.0,0.07,1.0,gap,0.0005,,adamw,0.05,0.0,800.0,224.0,8.0,6667.0,3333.0,29.85,5.007,100.0,0.464,234.5914,0.5195,1.2545,48.2488,5.5437,
DGX-CN01,KD_try,0,aircraft,vit_t16,,resnet101,cal,0.0,False,/home/edwinarkelrios.ee08/ckpts/cal_ckpts/aircraft_resnet101_cal.pth,True,0.0,0.07,1.0,gap,0.0005,,adamw,0.05,0.0,800.0,224.0,8.0,6667.0,3333.0,39.96,2.981,100.0,0.2,332.0198,0.7129,1.2473,54.6627,5.5433,
DGX-CN01,KD_try,0,aircraft,vit_t16,,resnet101,cal,1.0,False,/home/edwinarkelrios.ee08/ckpts/cal_ckpts/aircraft_resnet101_cal.pth,True,0.0,0.07,1.0,gap,0.0005,,adamw,0.05,0.0,800.0,224.0,8.0,6667.0,3333.0,41.73,2.76,100.0,0.485,585.4845,1.0488,1.2473,54.6627,5.5433,
DGX-CN01,KD_try,1,aircraft,resnet18,,,,0.0,False,,True,0.0,0.07,1.0,gap,0.0005,,adamw,0.05,0.0,800.0,224.0,8.0,6667.0,3333.0,79.0,1.456,99.64,0.012,145.0969,2.4414,1.8161,11.2278,11.2278,
DGX-CN02,KD_try,1,aircraft,resnet18,,resnet101,,0.0,False,/home/edwinarkelrios.ee08/ckpts/ft_ckpts/aircraft_resnet101.pth,True,0.0,0.07,1.0,gap,0.0005,,adamw,0.05,0.0,800.0,224.0,8.0,6667.0,3333.0,85.87,0.631,98.89,0.355,187.1055,2.6016,1.8161,53.9329,11.2278,
DGX-CN01,KD_try,1,aircraft,resnet18,,resnet101,cal,0.0,False,/home/edwinarkelrios.ee08/ckpts/cal_ckpts/aircraft_resnet101_cal.pth,True,0.0,0.07,1.0,gap,0.0005,,adamw,0.05,0.0,800.0,224.0,8.0,6667.0,3333.0,83.26,0.632,99.68,0.21,196.9979,2.6465,1.8161,60.3472,11.2278,
DGX-CN02,KD_try,1,aircraft,resnet18,,resnet101,cal,1.0,False,/home/edwinarkelrios.ee08/ckpts/cal_ckpts/aircraft_resnet101_cal.pth,True,0.0,0.07,1.0,gap,0.0005,,adamw,0.05,0.0,800.0,224.0,8.0,6667.0,3333.0,84.55,0.567,99.64,0.367,334.3945,2.8828,1.8161,60.3472,11.2278,
nando-MS-7D88,KD_try,1,aircraft,vit_t16,,,,0.0,False,,True,0.0,0.07,1.0,gap,0.0005,,adamw,0.05,0.0,800.0,224.0,8.0,6667.0,3333.0,17.97,8.322,99.92,0.002,192.5626,0.3516,1.2545,5.5437,5.5437,
DGX-CN02,KD_try,1,aircraft,vit_t16,,vit_b16,cal,0.0,False,/home/edwinarkelrios.ee08/ckpts/cal_ckpts/aircraft_vit_b16_cal.pth,True,0.0,0.07,1.0,gap,0.0005,,adamw,0.05,0.0,800.0,224.0,8.0,6667.0,3333.0,35.7,3.772,99.88,0.265,347.3636,0.7812,1.2473,93.8227,5.5433,
DGX-CN02,KD_try,1,aircraft,vit_t16,,vit_b16,cal,1.0,False,/home/edwinarkelrios.ee08/ckpts/cal_ckpts/aircraft_vit_b16_cal.pth,True,0.0,0.07,1.0,gap,0.0005,,adamw,0.05,0.0,800.0,224.0,8.0,6667.0,3333.0,42.54,3.622,99.92,1.015,593.0116,1.1836,1.2473,93.8227,5.5433,
nando-MS-7D88,KD_try,1,aircraft,vit_t16,,vit_b16,,0.0,False,/home/nando/ckpts/ft_ckpts/aircraft_vit_b16.pth,True,0.0,0.07,1.0,gap,0.0005,,adamw,0.05,0.0,800.0,224.0,8.0,6667.0,3333.0,33.27,4.555,99.74,0.248,270.0642,0.6836,1.2545,91.4193,5.5437,
nando-MS-7D88,KD_try,1,aircraft,vit_t16,,resnet101,,0.0,False,/home/nando/ckpts/ft_ckpts/aircraft_resnet101.pth,True,0.0,0.07,1.0,gap,0.0005,,adamw,0.05,0.0,800.0,224.0,8.0,6667.0,3333.0,31.68,4.536,99.68,0.575,235.6619,0.5195,1.2545,48.2488,5.5437,
DGX-CN02,KD_try,1,aircraft,vit_t16,,resnet101,cal,0.0,False,/home/edwinarkelrios.ee08/ckpts/cal_ckpts/aircraft_resnet101_cal.pth,True,0.0,0.07,1.0,gap,0.0005,,adamw,0.05,0.0,800.0,224.0,8.0,6667.0,3333.0,32.64,3.346,99.95,0.275,312.5557,0.7129,1.2473,54.6627,5.5433,
DGX-CN02,KD_try,1,aircraft,vit_t16,,resnet101,cal,1.0,False,/home/edwinarkelrios.ee08/ckpts/cal_ckpts/aircraft_resnet101_cal.pth,True,0.0,0.07,1.0,gap,0.0005,,adamw,0.05,0.0,800.0,224.0,8.0,6667.0,3333.0,37.8,3.005,99.92,0.539,558.7316,1.0449,1.2473,54.6627,5.5433,
DGX-CN01,KD_try,2,aircraft,resnet18,,,,0.0,False,,True,0.0,0.07,1.0,gap,0.0005,,adamw,0.05,0.0,800.0,224.0,8.0,6667.0,3333.0,83.14,1.37,98.66,0.052,149.7875,2.4414,1.8161,11.2278,11.2278,
DGX-CN01,KD_try,2,aircraft,resnet18,,resnet101,cal,1.0,False,/home/edwinarkelrios.ee08/ckpts/cal_ckpts/aircraft_resnet101_cal.pth,True,0.0,0.07,1.0,gap,0.0005,,adamw,0.05,0.0,800.0,224.0,8.0,6667.0,3333.0,86.53,0.522,98.92,0.458,355.7267,2.8828,1.8161,60.3472,11.2278,
DGX-CN02,KD_try,2,aircraft,resnet18,,resnet101,,0.0,False,/home/edwinarkelrios.ee08/ckpts/ft_ckpts/aircraft_resnet101.pth,True,0.0,0.07,1.0,gap,0.0005,,adamw,0.05,0.0,800.0,224.0,8.0,6667.0,3333.0,86.35,0.597,97.6,0.475,208.7345,2.6016,1.8161,53.9329,11.2278,
DGX-CN01,KD_try,2,aircraft,resnet18,,resnet101,cal,0.0,False,/home/edwinarkelrios.ee08/ckpts/cal_ckpts/aircraft_resnet101_cal.pth,True,0.0,0.07,1.0,gap,0.0005,,adamw,0.05,0.0,800.0,224.0,8.0,6667.0,3333.0,84.7,0.597,98.75,0.288,204.1721,2.6465,1.8161,60.3472,11.2278,
nando-MS-7D88,KD_try,2,aircraft,vit_t16,,,,0.0,False,,True,0.0,0.07,1.0,gap,0.0005,,adamw,0.05,0.0,800.0,224.0,8.0,6667.0,3333.0,39.54,4.57,98.57,0.052,193.5352,0.3516,1.2545,5.5437,5.5437,
DGX-CN01,KD_try,2,aircraft,vit_t16,,vit_b16,cal,0.0,False,/home/edwinarkelrios.ee08/ckpts/cal_ckpts/aircraft_vit_b16_cal.pth,True,0.0,0.07,1.0,gap,0.0005,,adamw,0.05,0.0,800.0,224.0,8.0,6667.0,3333.0,54.79,2.164,98.9,0.23,318.2762,0.7812,1.2473,93.8227,5.5433,
