host,project_name,serial,dataset_name,model_name,freeze_backbone,model_name_teacher,selector,tgda,pretrained,ckpt_path_teacher,square_resize_random_crop,cont_loss,cont_temp,loss_cont_weight,pooling_function,lr,base_lr,opt,weight_decay,seed,epochs,image_size,batch_size,num_images_train,num_images_val,val_acc,val_loss,train_acc,train_loss,time_total,max_memory,flops,no_params,no_params_trainable,throughput
server-3090,KD_try,0,aircraft,resnet18,,,,False,False,,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,224,8,6667,3333,78.85,1.702,100.0,0.0,269.2553,1.9199,1.8161,11.2278,11.2278,
server-3090,KD_try,0,aircraft,resnet18,,resnet101,,False,False,/hdd/edwin/results_backbones/ft_ckpts/aircraft_resnet101.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,224,8,6667,3333,82.84,0.747,99.97,0.222,437.06,4.7773,1.8161,53.9329,11.2278,
server-3090,KD_try,0,aircraft,resnet18,,resnet101,cal,False,False,/hdd/edwin/results_backbones/cal_ckpts/aircraft_resnet101_cal.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,224,8,6667,3333,80.71,0.726,100.0,0.131,464.474,4.8281,1.8161,60.3472,11.2278,
server-3090,KD_try,0,aircraft,resnet18,,resnet101,cal,True,False,/hdd/edwin/results_backbones/cal_ckpts/aircraft_resnet101_cal.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,224,8,6667,3333,85.24,0.567,100.0,0.292,777.5022,4.8887,1.8161,60.3472,11.2278,
nando-MS-7D88,KD_try,0,aircraft,vit_t16,,,,False,False,,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,224,8,6667,3333,27.27,7.522,100.0,0.0,191.7944,0.3516,1.2545,5.5437,5.5437,
DGX-CN02,KD_try,0,aircraft,vit_t16,,vit_b16,cal,False,False,/home/edwinarkelrios.ee08/ckpts/cal_ckpts/aircraft_vit_b16_cal.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,224,8,6667,3333,34.77,3.745,100.0,0.07,347.1418,0.7812,1.2473,93.8227,5.5433,
DGX-CN02,KD_try,0,aircraft,vit_t16,,vit_b16,cal,True,False,/home/edwinarkelrios.ee08/ckpts/cal_ckpts/aircraft_vit_b16_cal.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,224,8,6667,3333,47.01,3.079,100.0,0.732,592.199,1.1836,1.2473,93.8227,5.5433,
nando-MS-7D88,KD_try,0,aircraft,vit_t16,,vit_b16,,False,False,/home/nando/ckpts/ft_ckpts/aircraft_vit_b16.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,224,8,6667,3333,35.25,5.076,100.0,0.136,268.9415,0.6836,1.2545,91.4193,5.5437,
nando-MS-7D88,KD_try,0,aircraft,vit_t16,,resnet101,,False,False,/home/nando/ckpts/ft_ckpts/aircraft_resnet101.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,224,8,6667,3333,29.85,5.007,100.0,0.464,234.5914,0.5195,1.2545,48.2488,5.5437,
DGX-CN01,KD_try,0,aircraft,vit_t16,,resnet101,cal,False,False,/home/edwinarkelrios.ee08/ckpts/cal_ckpts/aircraft_resnet101_cal.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,224,8,6667,3333,39.96,2.981,100.0,0.2,332.0198,0.7129,1.2473,54.6627,5.5433,
DGX-CN01,KD_try,0,aircraft,vit_t16,,resnet101,cal,True,False,/home/edwinarkelrios.ee08/ckpts/cal_ckpts/aircraft_resnet101_cal.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,224,8,6667,3333,41.73,2.76,100.0,0.485,585.4845,1.0488,1.2473,54.6627,5.5433,
DGX-CN01,KD_try,1,aircraft,resnet18,,,,False,False,,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,224,8,6667,3333,79.0,1.456,99.64,0.012,145.0969,2.4414,1.8161,11.2278,11.2278,
DGX-CN02,KD_try,1,aircraft,resnet18,,resnet101,,False,False,/home/edwinarkelrios.ee08/ckpts/ft_ckpts/aircraft_resnet101.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,224,8,6667,3333,85.87,0.631,98.89,0.355,187.1055,2.6016,1.8161,53.9329,11.2278,
