host,project_name,serial,dataset_name,model_name,freeze_backbone,model_name_teacher,selector,tgda,pretrained,ckpt_path_teacher,square_resize_random_crop,cont_loss,cont_temp,loss_cont_weight,pooling_function,lr,base_lr,opt,weight_decay,seed,epochs,image_size,batch_size,num_images_train,num_images_val,val_acc,val_loss,train_acc,train_loss,time_total,max_memory,flops,no_params,no_params_trainable,throughput
gpu,KD_TGDA,20,aircraft,resnet18,,,,False,False,,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,6667,3333,82.21,1.229,100.0,0.0,119.3123,2.4844,7.2642,11.2278,11.2278,
gpu,KD_TGDA,20,aircraft,resnet34,,,,False,False,,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,6667,3333,81.94,1.325,100.0,0.0,190.8903,2.5273,14.668,21.336,21.336,
gpu,KD_TGDA,20,aircraft,resnet50,,,,False,False,,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,6667,3333,84.25,1.235,100.0,0.0,280.8708,9.4082,16.3932,23.7129,23.7129,
gpu,KD_TGDA,20,cars,resnet18,,,,False,False,,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,8144,8041,83.47,0.926,99.82,0.003,147.9208,2.4844,7.2643,11.2771,11.2771,
gpu,KD_TGDA,20,cars,resnet34,,,,False,False,,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,8144,8041,84.42,0.979,99.83,0.003,243.1433,2.5273,14.6681,21.3852,21.3852,
gpu,KD_TGDA,20,cars,resnet50,,,,False,False,,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,8144,8041,83.52,1.008,99.83,0.003,336.7129,9.1504,16.3934,23.9096,23.9096,
gpu,KD_TGDA,20,cub,resnet18,,,,False,False,,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,5994,5794,67.1,2.077,100.0,0.0,107.0579,2.4844,7.2643,11.2791,11.2791,
gpu,KD_TGDA,20,cub,resnet34,,,,False,False,,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,5994,5794,68.48,2.117,99.98,0.0,171.9412,2.5273,14.6681,21.3873,21.3873,
gpu,KD_TGDA,20,cub,resnet50,,,,False,False,,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,5994,5794,62.1,3.085,100.0,0.0,252.6434,9.2129,16.3934,23.9178,23.9178,
camel.ee.nctu.edu.tw,CTGDA,21,aircraft,resnet18,,resnet101,cal,False,False,/edahome/pcslab/pcs05/edwin/results_backbones/serial15_ckpts/aircraft_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,6667,3333,87.19,0.53,100.0,0.05,1264.556,7.5273,7.2642,60.3472,11.2278,
gpu,CTGDA,21,aircraft,resnet34,,resnet101,cal,False,False,/home2/video/edwin/results_backbones/serial15_ckpts/aircraft_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,6667,3333,87.55,0.572,100.0,0.047,294.0636,7.5273,14.668,70.4553,21.336,
gpu,CTGDA,21,aircraft,resnet50,,resnet101,cal,False,False,/home2/video/edwin/results_backbones/serial15_ckpts/aircraft_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,6667,3333,89.86,0.429,100.0,0.048,390.9183,8.8691,16.3932,72.8323,23.7129,
gpu,CTGDA,21,cars,resnet18,,resnet101,cal,False,False,/home2/video/edwin/results_backbones/serial15_ckpts/cars_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,8144,8041,92.33,0.353,99.82,0.052,275.9538,7.5332,7.2643,66.6879,11.2771,
gpu,CTGDA,21,cars,resnet34,,resnet101,cal,False,False,/home2/video/edwin/results_backbones/serial15_ckpts/cars_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,8144,8041,92.29,0.357,99.82,0.046,367.828,7.5742,14.6681,76.796,21.3852,
gpu,CTGDA,21,cars,resnet50,,resnet101,cal,False,False,/home2/video/edwin/results_backbones/serial15_ckpts/cars_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,8144,8041,93.01,0.315,99.8,0.046,483.822,8.3496,16.3934,79.3205,23.9096,
server-3090,CTGDA,21,cub,resnet18,,resnet101,cal,False,False,/hdd/edwin/results_backbones/serial15_ckpts/cub_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,5994,5794,79.05,0.878,100.0,0.063,127.8777,7.5684,7.2643,66.9521,11.2791,
gpu,CTGDA,21,cub,resnet34,,resnet101,cal,False,False,/home2/video/edwin/results_backbones/serial15_ckpts/cub_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,5994,5794,79.1,0.896,100.0,0.053,266.448,7.6172,14.6681,77.0602,21.3873,
server-3090,CTGDA,21,cub,resnet50,,resnet101,cal,False,False,/hdd/edwin/results_backbones/serial15_ckpts/cub_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,5994,5794,79.32,0.872,100.0,0.058,205.281,7.7637,16.3934,79.5908,23.9178,
camel.ee.nctu.edu.tw,CTGDA,22,aircraft,resnet18,,resnet101,cal,True,False,/edahome/pcslab/pcs05/edwin/results_backbones/serial15_ckpts/aircraft_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,6667,3333,91.18,0.422,100.0,0.69,1271.9672,9.2227,7.2642,60.3472,11.2278,
vsplab-DGX-Station-A100,KD_TGDA,22,aircraft,resnet34,,resnet101,cal,True,False,/Desktop/CodeFolder/results_backbones/serial15_ckpts/aircraft_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,6667,3333,92.23,0.414,100.0,0.553,277.7921,5.373,14.668,70.4553,21.336,
vsplab-DGX-Station-A100,KD_TGDA,22,aircraft,resnet50,,resnet101,cal,True,False,/Desktop/CodeFolder/results_backbones/serial15_ckpts/aircraft_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,6667,3333,92.71,0.344,100.0,0.523,344.0767,8.8926,16.3932,72.8323,23.7129,
vsplab-DGX-Station-A100,CTGDA,22,cars,resnet18,,resnet101,cal,True,False,/Desktop/CodeFolder/results_backbones/serial15_ckpts/cars_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,8144,8041,93.72,0.334,99.8,0.756,281.5673,5.3848,7.2643,66.6879,11.2771,
vsplab-DGX-Station-A100,CTGDA,22,cars,resnet34,,resnet101,cal,True,False,/Desktop/CodeFolder/results_backbones/serial15_ckpts/cars_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,8144,8041,94.09,0.36,99.79,0.57,339.7878,5.418,14.6681,76.796,21.3852,
vsplab-DGX-Station-A100,CTGDA,22,cars,resnet50,,resnet101,cal,True,False,/Desktop/CodeFolder/results_backbones/serial15_ckpts/cars_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,8144,8041,94.54,0.303,99.83,0.508,415.3765,8.9336,16.3934,79.3205,23.9096,
server-3090,CTGDA,22,cub,resnet18,,resnet101,cal,True,False,/hdd/edwin/results_backbones/serial15_ckpts/cub_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,5994,5794,82.33,0.83,100.0,0.954,301.7717,8.0156,7.2643,66.9521,11.2791,
