model_name,dataset_name,val_acc,project_name,serial
random init.,aircraft,14.6,previous,25
SimCLR,aircraft,43.2,previous,25
SupCon,aircraft,29.4,previous,25
MoCov2,aircraft,37.7,previous,25
MoCov3,aircraft,32.0,previous,25
DINO,aircraft,45.7,previous,25
IDMM,aircraft,43.2,previous,25
random init.,cars,12.3,previous,25
SimCLR,cars,64.3,previous,25
SupCon,cars,66.2,previous,25
MoCov2,cars,44.0,previous,25
MoCov3,cars,53.7,previous,25
DINO,cars,65.3,previous,25
IDMM,cars,66.4,previous,25
random init.,cub,23.8,previous,25
SimCLR,cub,36.2,previous,25
SupCon,cub,37.8,previous,25
MoCov2,cub,31.6,previous,25
MoCov3,cub,20.5,previous,25
DINO,cub,41.8,previous,25
IDMM,cub,43.1,previous,25
DeiT-T (IN1k PT),aircraft,78.7,previous,24
DeiT-T (IDMM),aircraft,48.6,previous,24
DeiT-B (IN1k PT),aircraft,82.8,previous,24
DeiT-B (IDMM),aircraft,46.6,previous,24
PVTv2-B0 (IN1k PT),aircraft,88.3,previous,24
PVTv2-B0 (IDMM),aircraft,83.3,previous,24
T2T-ViT-7 (IN1k PT),aircraft,83.8,previous,24
T2T-ViT-7 (IDMM),aircraft,72.9,previous,24
DeiT-T (IN1k PT),cars,90.3,previous,24
DeiT-T (IDMM),cars,77.8,previous,24
DeiT-B (IN1k PT),cars,92.6,previous,24
DeiT-B (IDMM),cars,70.7,previous,24
PVTv2-B0 (IN1k PT),cars,92.6,previous,24
PVTv2-B0 (IDMM),cars,92.0,previous,24
T2T-ViT-7 (IN1k PT),cars,92.8,previous,24
T2T-ViT-7 (IDMM),cars,91.2,previous,24
DeiT-T (IN1k PT),cub,76.8,previous,24
DeiT-T (IDMM),cub,50.9,previous,24
DeiT-B (IN1k PT),cub,81.9,previous,24
DeiT-B (IDMM),cub,54.3,previous,24
PVTv2-B0 (IN1k PT),cub,81.4,previous,24
PVTv2-B0 (IDMM),cub,77.6,previous,24
T2T-ViT-7 (IN1k PT),cub,79.0,previous,24
T2T-ViT-7 (IDMM),cub,63.2,previous,24
DeiT-T (IN1k PT),aircraft,78.7,previous,24
DeiT-T (IDMM),aircraft,48.6,previous,24
DeiT-B (IN1k PT),aircraft,82.8,previous,24
DeiT-B (IDMM),aircraft,46.6,previous,24
PVTv2-B0 (IN1k PT),aircraft,88.3,previous,24
PVTv2-B0 (IDMM),aircraft,83.3,previous,24
T2T-ViT-7 (IN1k PT),aircraft,83.8,previous,24
T2T-ViT-7 (IDMM),aircraft,72.9,previous,24
DeiT-T (IN1k PT),cars,90.3,previous,24
DeiT-T (IDMM),cars,77.8,previous,24
DeiT-B (IN1k PT),cars,92.6,previous,24
DeiT-B (IDMM),cars,70.7,previous,24
PVTv2-B0 (IN1k PT),cars,92.6,previous,24
PVTv2-B0 (IDMM),cars,92.0,previous,24
T2T-ViT-7 (IN1k PT),cars,92.8,previous,24
T2T-ViT-7 (IDMM),cars,91.2,previous,24
DeiT-T (IN1k PT),cub,76.8,previous,24
DeiT-T (IDMM),cub,50.9,previous,24
DeiT-B (IN1k PT),cub,81.9,previous,24
DeiT-B (IDMM),cub,54.3,previous,24
PVTv2-B0 (IN1k PT),cub,81.4,previous,24
PVTv2-B0 (IDMM),cub,77.6,previous,24
T2T-ViT-7 (IN1k PT),cub,79.0,previous,24
T2T-ViT-7 (IDMM),cub,63.2,previous,24
PCA-Net,aircraft,79.92,previous,53
PMG,aircraft,61.87,previous,53
API-Net,aircraft,64.51,previous,53
MGN-CNN,aircraft,68.21,previous,53
Res-50,aircraft,59.24,previous,53
Res-101,aircraft,65.28,previous,53
Res-50+DSSD,aircraft,71.89,previous,53
Res-101+DSSD,aircraft,79.08,previous,53
PCA-Net,cars,68.16,previous,53
PMG,cars,65.13,previous,53
API-Net,cars,73.97,previous,53
MGN-CNN,cars,70.59,previous,53
Res-50,cars,69.13,previous,53
Res-101,cars,71.85,previous,53
Res-50+DSSD,cars,87.32,previous,53
Res-101+DSSD,cars,87.96,previous,53
PCA-Net,cub,64.87,previous,53
PMG,cub,61.01,previous,53
API-Net,cub,69.05,previous,53
MGN-CNN,cub,62.95,previous,53
Res-50,cub,65.84,previous,53
Res-101,cub,68.25,previous,53
Res-50+DSSD,cub,78.29,previous,53
Res-101+DSSD,cub,80.29,previous,53
RA-CNN,aircraft,88.1,previous,23
MA-CNN,aircraft,89.9,previous,23
NTS,aircraft,91.4,previous,23
API-Net,aircraft,93.0,previous,23
Cross-X,aircraft,92.6,previous,23
DCL,aircraft,93.0,previous,23
DTB-Net,aircraft,91.2,previous,23
CIN,aircraft,92.6,previous,23
LIO,aircraft,92.7,previous,23
DTB-Net*,aircraft,91.6,previous,23
CIN*,aircraft,92.8,previous,23
API-Net*,aircraft,93.4,previous,23
SnapMix**,aircraft,92.8,previous,23
CEKD,aircraft,93.48,previous,23
RA-CNN,cars,92.5,previous,23
MA-CNN,cars,92.8,previous,23
NTS,cars,93.3,previous,23
API-Net,cars,94.8,previous,23
Cross-X,cars,94.5,previous,23
DCL,cars,94.5,previous,23
DTB-Net,cars,94.1,previous,23
CIN,cars,94.1,previous,23
LIO,cars,94.5,previous,23
DTB-Net*,cars,94.5,previous,23
CIN*,cars,94.5,previous,23
API-Net*,cars,94.9,previous,23
SnapMix**,cars,94.3,previous,23
CEKD,cars,95.65,previous,23
RA-CNN,cub,85.3,previous,23
MA-CNN,cub,86.5,previous,23
NTS,cub,87.5,previous,23
API-Net,cub,87.7,previous,23
Cross-X,cub,87.7,previous,23
DCL,cub,87.8,previous,23
DTB-Net,cub,87.5,previous,23
CIN,cub,87.5,previous,23
LIO,cub,88.0,previous,23
DTB-Net*,cub,88.1,previous,23
CIN*,cub,88.1,previous,23
API-Net*,cub,88.6,previous,23
SnapMix**,cub,87.75,previous,23
CEKD,cub,88.41,previous,23
PCA-Net,aircraft,79.92,previous,53
PMG,aircraft,61.87,previous,53
API-Net,aircraft,64.51,previous,53
MGN-CNN,aircraft,68.21,previous,53
Res-50,aircraft,59.24,previous,53
Res-101,aircraft,65.28,previous,53
Res-50+DSSD,aircraft,71.89,previous,53
Res-101+DSSD,aircraft,79.08,previous,53
PCA-Net,cars,68.16,previous,53
PMG,cars,65.13,previous,53
API-Net,cars,73.97,previous,53
MGN-CNN,cars,70.59,previous,53
Res-50,cars,69.13,previous,53
Res-101,cars,71.85,previous,53
Res-50+DSSD,cars,87.32,previous,53
Res-101+DSSD,cars,87.96,previous,53
PCA-Net,cub,64.87,previous,53
PMG,cub,61.01,previous,53
API-Net,cub,69.05,previous,53
MGN-CNN,cub,62.95,previous,53
Res-50,cub,65.84,previous,53
Res-101,cub,68.25,previous,53
Res-50+DSSD,cub,78.29,previous,53
Res-101+DSSD,cub,80.29,previous,53
RN18FT*,aircraft,50.67,previous,51
SnapMix*,aircraft,58.67,previous,51
KD*,aircraft,53.47,previous,51
RKD*,aircraft,53.35,previous,51
CRD*,aircraft,54.31,previous,51
OFD*,aircraft,54.69,previous,51
ReviewKD*,aircraft,58.54,previous,51
DKD*,aircraft,58.04,previous,51
DSSD,aircraft,66.32,previous,51
RN18FT,aircraft,50.22,previous,51
SnapMix,aircraft,59.71,previous,51
KD,aircraft,53.67,previous,51
DKD,aircraft,58.63,previous,51
DADKD,aircraft,65.61,previous,51
RN18FT*,cars,61.68,previous,51
SnapMix*,cars,72.14,previous,51
KD*,cars,60.58,previous,51
RKD*,cars,60.87,previous,51
CRD*,cars,61.72,previous,51
OFD*,cars,61.37,previous,51
ReviewKD*,cars,71.02,previous,51
DKD*,cars,75.43,previous,51
DSSD,cars,81.52,previous,51
RN18FT,cars,60.58,previous,51
SnapMix,cars,71.68,previous,51
KD,cars,61.02,previous,51
DKD,cars,75.97,previous,51
DADKD,cars,80.61,previous,51
RN18FT*,cub,58.98,previous,51
SnapMix*,cub,64.98,previous,51
KD*,cub,63.15,previous,51
RKD*,cub,61.84,previous,51
CRD*,cub,64.11,previous,51
OFD*,cub,63.91,previous,51
ReviewKD*,cub,67.89,previous,51
DKD*,cub,70.97,previous,51
DSSD,cub,74.13,previous,51
RN18FT,cub,59.44,previous,51
SnapMix,cub,65.41,previous,51
KD,cub,62.81,previous,51
DKD,cub,71.31,previous,51
DADKD,cub,73.31,previous,51
RN34FT*,aircraft,51.83,previous,52
SnapMix*,aircraft,61.79,previous,52
KD*,aircraft,56.04,previous,52
RKD*,aircraft,55.18,previous,52
CRD*,aircraft,56.23,previous,52
OFD*,aircraft,55.67,previous,52
ReviewKD*,aircraft,58.79,previous,52
DKD*,aircraft,60.12,previous,52
DSSD,aircraft,70.01,previous,52
RN34FT,aircraft,52.41,previous,52
SnapMix,aircraft,61.32,previous,52
KD,aircraft,55.89,previous,52
DKD,aircraft,59.67,previous,52
DADKD,aircraft,68.52,previous,52
RN34FT*,cars,63.78,previous,52
SnapMix*,cars,76.84,previous,52
KD*,cars,64.83,previous,52
RKD*,cars,64.38,previous,52
CRD*,cars,65.79,previous,52
OFD*,cars,65.63,previous,52
ReviewKD*,cars,73.12,previous,52
DKD*,cars,78.96,previous,52
DSSD,cars,86.24,previous,52
RN34FT,cars,64.73,previous,52
SnapMix,cars,77.45,previous,52
KD,cars,65.12,previous,52
DKD,cars,79.63,previous,52
DADKD,cars,85.34,previous,52
RN34FT*,cub,63.01,previous,52
SnapMix*,cub,67.13,previous,52
KD*,cub,64.88,previous,52
RKD*,cub,64.78,previous,52
CRD*,cub,66.12,previous,52
OFD*,cub,65.83,previous,52
ReviewKD*,cub,67.62,previous,52
DKD*,cub,68.13,previous,52
DSSD,cub,70.21,previous,52
RN34FT,cub,62.79,previous,52
SnapMix,cub,66.63,previous,52
KD,cub,65.52,previous,52
DKD,cub,67.83,previous,52
DADKD,cub,69.9,previous,52
RN50FT*,aircraft,57.96,previous,53
SnapMix*,aircraft,64.07,previous,53
KD*,aircraft,58.76,previous,53
RKD*,aircraft,57.63,previous,53
CRD*,aircraft,58.77,previous,53
OFD*,aircraft,58.63,previous,53
ReviewKD*,aircraft,67.65,previous,53
DKD*,aircraft,61.89,previous,53
DSSD,aircraft,73.01,previous,53
RN50FT,aircraft,58.44,previous,53
SnapMix,aircraft,63.87,previous,53
KD,aircraft,58.22,previous,53
DKD,aircraft,62.13,previous,53
DADKD,aircraft,72.63,previous,53
RN50FT*,cars,68.85,previous,53
SnapMix*,cars,82.13,previous,53
KD*,cars,71.83,previous,53
RKD*,cars,71.87,previous,53
CRD*,cars,72.02,previous,53
OFD*,cars,71.97,previous,53
