,Aircraft,,,,Cars,,,,CUB,,,
,RN18,RN34,RN50,RN101,RN18,RN34,RN50,RN101,RN18,RN34,RN50,RN101
Baseline,88.27,89.53,90.31,90.46,91.51,92.33,92.94,93.06,82.45,84.86,85.72,86.24
Mixup,87.82,89.77,90.1,90.31,91.56,92.65,92.74,93.05,83.21,85.23,86.26,87.42
CutMix,88.78,90.19,91.12,91.18,92.24,93.28,93.42,93.25,83.4,85.81,86.78,87.5
Cutout,88.03,89.35,89.62,90.07,91.46,92.65,92.8,93.02,81.81,84.69,84.43,86.12
InPS,89.08,90.16,91.48,90.46,91.98,92.08,93.26,92.66,84.55,86.07,86.83,87.57
SnapMix,89.32,90.43,91.27,91.6,92.24,93.22,93.22,93.51,83.57,86.4,87.02,87.54
S3Mix,89.53,90.46,91.51,91.54,92.63,93.27,93.61,93.65,85.14,86.68,87.5,87.71
S3Mix+,89.8,90.76,91.6,91.81,92.95,93.31,93.75,93.92,85.43,86.83,87.52,87.97
MixUp*,89.82,91.02,92.24,92.89,91.57,93.28,93.96,94.22,83.17,85.22,86.23,87.72
CutMix*,89.44,91.26,92.23,92.29,92.65,93.61,94.18,94.27,80.16,85.69,86.15,87.92
SnapMix*,90.17,92.36,92.8,93.74,93.12,93.95,94.3,94.44,84.29,87.06,87.75,88.45
CEKD*,91.29,93.65,93.48,94.56,93.87,94.61,95.65,95.96,85.22,88.32,88.41,89.59
BaselineFS,serial20,serial20,serial20,serial20,serial20,serial20,serial20,serial20,serial20,serial20,serial20,serial20
KD,serial21,serial21,serial21,serial21,serial21,serial21,serial21,serial21,serial21,serial21,serial21,serial21
TGDA,serial22,serial22,serial22,serial22,serial22,serial22,serial22,serial22,serial22,serial22,serial22,serial22
TGDA*,serial23,serial23,serial23,serial23,serial23,serial23,serial23,serial23,serial23,serial23,serial23,serial23
