,Aircraft,,,,Cars,,,,CUB,,,
,ResNet-18,ResNet-34,ResNet-50,ResNet-101,ResNet-18,ResNet-34,ResNet-50,ResNet-101,ResNet-18,ResNet-34,ResNet-50,ResNet-101
Baseline,50.67,51.83,57.96,65.14,61.68,63.78,68.85,71.84,58.98,63.01,65.87,68.12
SnapMix [66],58.67,61.79,64.07,68.89,72.14,76.84,82.13,83.96,64.98,67.13,70.78,72.59
KD [18],53.47,56.04,58.76,66.11,60.58,64.83,71.83,76.12,63.15,64.88,70.84,71.98
RKD [64],53.35,55.18,57.63,64.67,60.87,64.38,71.87,74.63,61.84,64.78,70.09,71.33
CRD [69],54.31,56.23,58.77,66.39,61.72,65.79,72.02,75.32,64.11,66.12,72.83,72.55
OFD [70],54.69,55.67,58.63,65.67,61.37,65.63,71.97,74.83,63.91,65.83,72.71,71.97
ReviewKD [71],58.54,58.79,67.65,68.89,71.02,73.12,84.82,85.72,67.89,67.62,73.81,75.52
DKD [68],58.04,60.12,61.89,68.54,75.43,78.96,85.04,84.89,70.97,68.13,76.02,75.68
DSSD,66.32,70.01,73.01,78.99,81.52,86.24,88.12,89.13,74.13,70.21,79.13,81.07
Baseline,50.22,52.41,58.44,64.91,60.58,64.73,69.25,72.35,59.44,62.79,66.4,67.67
SnapMix,59.71,61.32,63.87,69.29,71.68,77.45,81.54,83.16,65.41,66.63,71.32,73.04
KD,53.67,55.89,58.22,64.68,61.02,65.12,72.33,75.42,62.81,65.52,71.14,72.71
DKD,58.63,59.67,62.13,68.01,75.97,79.63,84.94,85.69,71.31,67.83,75.92,76.38
DADKD,65.61,68.52,72.63,78.98,80.61,85.34,87.74,88.19,73.31,69.9,78.22,80.33
TGDA,serial51,serial52,serial53,serial54,serial51,serial52,serial53,serial54,serial51,serial52,serial53,serial54
TGDA+LR,serial51,serial52,serial53,serial54,serial51,serial52,serial53,serial54,serial51,serial52,serial53,serial54
