model_name,aircraft,cars,cub
RA-CNN (VGG),88.1,92.5,85.3
MA-CNN (VGG),89.9,92.8,86.5
NTS (Res-50),91.4,93.3,87.5
API-Net (Res-50),93,94.8,87.7
Cross-X (Res-50),92.6,94.5,87.7
DCL (Res-50),93,94.5,87.8
DTB-Net (Res-50),91.2,94.1,87.5
CIN (Res-50),92.6,94.1,87.5
LIO (Res-50),92.7,94.5,88
DTB-Net (Res-101),91.6,94.5,88.1
CIN (Res-101),92.8,94.5,88.1
API-Net (Res-101),93.4,94.9,88.6
Snapmix (Res-50),92.8,94.3,87.75
Snapmix + CEKD (Res-50),93.48,95.65,88.41
Snapmix (Res-101),93.74,94.44,88.45
Snapmix + CEKD (Res-101),94.56,95.96,89.59
