Method,Backbone,Accuracy,,
,,CUB,Cars,Aircraft
DeepLAC,VGG,80.3,-,-
Part-RCNN,VGG,81.6,-,-
RA-CNN,VGG,85.3,92.5,88.1
MA-CNN,VGG,86.5,92.8,89.9
MAMC,Res-50,86.2,92.8,-
NTS,Res-50,87.5,93.3,91.4
API-Net,Res-50,87.7,94.8,93
Cross-X,Res-50,87.7,94.5,92.6
DCL,Res-50,87.8,94.5,93
DTB-Net,Res-50,87.5,94.1,91.2
CIN,Res-50,87.5,94.1,92.6
LIO,Res-50,88,94.5,92.7
MAMC,Res-101,86.5,93,-
DTB-Net,Res-101,88.1,94.5,91.6
CIN,Res-101,88.1,94.5,92.8
API-Net,Res-101,88.6,94.9,93.4
Snapmix,Res-50,87.75,94.3,92.8
Snapmix + CEKD,Res-50,88.41,95.65,93.48
Snapmix,Res-101,88.45,94.44,93.74
Snapmix + CEKD,Res-101,89.59,95.96,94.56
