,Aircraft,,,,Cars,,,,CUB,,,
,ResNet-18,ResNet-34,ResNet-50,ResNet-101,ResNet-18,ResNet-34,ResNet-50,ResNet-101,ResNet-18,ResNet-34,ResNet-50,ResNet-101
Baseline,50.67,51.83,57.96,65.14,61.68,63.78,68.85,71.84,58.98,63.01,65.87,68.12
SnapMix,58.67,61.79,64.07,68.89,72.14,76.84,82.13,83.96,64.98,67.13,70.78,72.59
KD,53.47,56.04,58.76,66.11,60.58,64.83,71.83,76.12,63.15,64.88,70.84,71.98
RKD,53.35,55.18,57.63,64.67,60.87,64.38,71.87,74.63,61.84,64.78,70.09,71.33
CRD,54.31,56.23,58.77,66.39,61.72,65.79,72.02,75.32,64.11,66.12,72.83,72.55
OFD,54.69,55.67,58.63,65.67,61.37,65.63,71.97,74.83,63.91,65.83,72.71,71.97
ReviewKD,58.54,58.79,67.65,68.89,71.02,73.12,84.82,85.72,67.89,67.62,73.81,75.52
DKD,58.04,60.12,61.89,68.54,75.43,78.96,85.04,84.89,70.97,68.13,76.02,75.68
DSSD,66.32,70.01,73.01,78.99,81.52,86.24,88.12,89.13,74.13,70.21,79.13,81.07
